Symbol,Description,Peak -logP,Effect Size,Peak Location,Location
Spats1,"spermatogenesis associated, serine-rich 1",8.0,0.176,Chr5: 68.675208,Chr9: 15.527178
Elp4,elongator acetyltransferase complex subunit 4,7.6,0.117,Chr5: 68.651851,Chr3: 92.385250
Pou2f1,POU class 2 homeobox 1,7.3,0.114,Chr5: 68.651851,Chr13: 78.263305
Plag1,PLAG1 zinc finger,7.1,0.177,Chr5: 68.651851,Chr5: 16.956726
Bmal1,basic helix-loop-helix ARNT like 1,7.0,-0.237,Chr5: 68.653657,Chr1: 167.331755
Arhgap42,Rho GTPase activating protein 42,6.8,0.124,Chr5: 68.651851,Chr8: 6.384496
Bicral,BICRA like chromatin remodeling complex associated protein,6.8,0.136,Chr5: 68.651851,Chr9: 14.100252
Tomm20l,translocase of outer mitochondrial membrane 20 like,6.7,0.141,Chr5: 68.651851,Chr6: 89.594015
Sgpp2,sphingosine-1-phosphate phosphatase 2,6.7,0.289,Chr5: 68.651851,Chr9: 79.762657
Asxl3,ASXL transcriptional regulator 3,6.7,-0.3,Chr5: 68.653657,Chr18: 13.593528
Akap5,A-kinase anchoring protein 5,6.7,-0.244,Chr5: 68.653657,Chr6: 95.051526
Csf2rb,colony stimulating factor 2 receptor subunit beta,6.6,-0.163,Chr5: 68.653657,Chr7: 109.876918
Lad1,ladinin 1,6.6,0.481,Chr5: 68.124957,Chr13: 47.249604
Abtb3,ankyrin repeat and BTB domain containing 3,6.4,0.192,Chr5: 68.651851,Chr7: 18.310717
Tia1,TIA1 cytotoxic granule-associated RNA binding protein,6.4,0.106,Chr5: 68.675208,Chr4: 118.852764
Nrf1,nuclear respiratory factor 1,6.4,0.116,Chr5: 68.651851,Chr4: 58.664931
Cdk12,cyclin-dependent kinase 12,6.4,0.109,Chr5: 68.651851,Chr10: 83.201176
Usp42,ubiquitin specific peptidase 42,6.3,0.11,Chr5: 68.651851,Chr12: 10.800863
Nrp2,neuropilin 2,6.3,-0.142,Chr5: 68.653657,Chr9: 64.122814
Tra2a,transformer 2 alpha,6.3,0.109,Chr5: 68.675208,Chr4: 78.239736
Ppp1r26,"protein phosphatase 1, regulatory subunit 26",6.3,0.183,Chr5: 68.651851,Chr3: 11.781503
Zfp318,zinc finger protein 318,6.2,0.126,Chr5: 68.651851,Chr9: 14.601556
Gtf3c2,general transcription factor IIIC subunit 2,6.2,0.12,Chr5: 68.651851,Chr6: 25.196438
Srrm2,serine/arginine repetitive matrix 2,6.2,0.136,Chr5: 68.651851,Chr10: 12.815470
Lef1,lymphoid enhancer binding factor 1,6.2,0.241,Chr5: 68.651851,Chr2: 219.666548
